front,back,deck_list
リアルモードからプロテクトモードへの移行はどのように行われるか,"CR0（コントロールレジスタ0）というレジスタの最下位ビットであるPE（プロテクションイネーブル）ビットを1にセットすることで、CPUの動作モードがプロテクトモードに切り替わる。

**画像**  
![](https://i.gyazo.com/ed3b6c1803815a7a5924d2d11c7a73a8.png)

**プログラム**  
```
mov eax, cr0
or eax,1
mov cr0,eax
```",はじめて読む486
【表】x86 CPUの歴史,"| 年代 | CPU名 | 特徴など |
| :-- | :------------ | :------ |
| 1971 | 4004 | 世界初のマイクロプロセッサ. |
| 1972 | 8008 | 8bit. 世界初の8bitマイクロプロセッサ. |
| 1974 | 8080 | 8bit. |
| 1978 | 8086(i8086) | 16bit. **初のx86 CPU**. |
| 1979 | 8088(i8088) | 16bit. IBM PCに採用されたCPU |
| 1982 | 80186 | --- |
| 1982 | 80286 | 16bit. プロテクトモード搭載など大幅な機能追加 |
| 1985 | 80386(i386) | 32bit. メモリ空間増加でOSの成長を支えた現代PC技術の核 |
| 1989 | 80486(i486) | --- |
| 1993 | Pentium | --- |",はじめて読む486
「タスク」とは何か,"独立した資源を保持するプログラムの実行単位
※ OS毎に異なる意味を持っているが、「はじめて読む486」では上記のように定義",はじめて読む486
「実行単位」とは何か,プログラムが起動して処理を行い、終了するまでの一連の実行の流れのこと,はじめて読む486
「資源」とは何か,メモリ空間やファイルやデバイスの操作状況、それらを処理するプログラムの実行時間などのこと,はじめて読む486
486のタスク機能には大きく分けて2つの働きがある。それは何か。,"- タスク切り替え機能
- メモリ空間の分離保護機能",はじめて読む486
「スレッド」とは何か,"スレッドとは資源を共有する実行単位のことで、同じメモリ空間の中で複数の処理を並列に実行する仕組み。
![](https://i.gyazo.com/fcf11f100d1bd68980b3a7e07591a7a6.png)
スレッドの切り替えは実行するアドレスやスタックなどごく僅かの資源を切り替えれば良いので高速に処理できる。",はじめて読む486
【画像】実行単位の切り替え,"切り替えの瞬間に次のような処理を行うことで、タスク切り替えは実現されている
",はじめて読む486
タスク切り替えの際に行われる2つの処理とは何か,"- 実行していたタスクの実行状態（= CPU内のレジスタの内容）をメモリに保存する
- 実行したいタスクの実行状態をレジスタに読み込む
![](https://i.gyazo.com/a98f3436cea9d5e6e8a0598c8145aa36.png)",はじめて読む486
TSSとは何か,"Task State Segment。486は、タスク状態の保存・復元に使用するデータ領域の形式。
486のタスク切り替え機能を利用するには、TSSの形式に従ってタスク状態を管理しなければならない。
![](https://i.gyazo.com/fdf29ba7fbfa72bb5e122232c6e7fc2e.png)",はじめて読む486
TSSは3つの部分に分けられる。それは何か,"- レジスタ保存部：レジスタの内容を保存する部分
- オペレーティングシステム用タスク管理情報部：タスクの持つ資源の状態を管理
- I/O許可マップ：これがあると、特定のI/Oポートのアクセスを許可する",はじめて読む486
