front,back
〜はどこですか？,"Where's ~?

```
Where's the nearest ATM?
一番近くのATMはどこですか？
```"
〜したいのですが,"I'd like to ~.

```
I'd like to send this to Japan.
これを日本に送りたいのですが
```"
〜は何ですか？、何が〜ですか？,"What's ~?

```
What's the password for the WiFi?
WiFiのパスワードは何ですか？
```"
〜したいのですが,"I'd like to ~.

```
I'd like to send this to Japan.
これを日本に送りたいのですが
```"
〜は何ですか？、何が〜ですか？,"What's ~?

```
What's the password for the WiFi?
WiFiのパスワードは何ですか？
```"
〜はありますか？,"Is there ~?

```
Is there a Japanese restaurant around here?
この近くに和食レストランはありますか？
```"
〜をお願いします,"I'd like ~.

```
Beef of Fish?
ビーフとお魚のどちらにしますか？

I'd like fish.
お魚をお願いします
```"
どこで〜できますか？,"Where can I ~?

```
Where can I buy tickets?
どこでチケットを買えますか？

There's a box office in the lobby.
ロビーにチケット売り場があります
```"
これは〜ですか？,"Is this ~?

```
Is this wool?
これはウールですか？
```"
ここは私の席だと思いますが,I think this is my seat.
ちょっと待ってください,"Just a second.
Just a moment.
Just a minute."
（これから）〜します,"I'll ~

```
I'll move my bags.
荷物を移動させます
```"
お手伝いします,Let me help you.
"お願いがあるのですが。
（人に頼み事をする際の表現）","May I ask you a favor?
Could I ask you a favor?"
席を替えていただけますか？,Could you change seats with me? (I'd like to sit next to my friend.)
〜をどうぞ / これは〜です,"Here is ~ / Here are ~

```
Here's a wet towel for you.
おしぼりをどうぞ
```"
えーと,Let's see.
ビーフとチキンのどちらにしますか,"Beef or Chicken?

```
Beef or Chicken?
Let's see. Beef please.
```"
〜をいただけますか？,"Can(Could) I have ~ ?

```
Can I have some water?
お水をいただけますか？
```"
〜ドルです,"It's ~ dollars.

```
It's two dollars a(per) bottle
1本、2ドルです
```"
〜しなければいけませんか？,"Do I have to ~?

```
Do I have to pay for water?
お水が有料なんですか？（お水の代金を支払わなければいけませんか？）
```"
〜できるようになりたい,"I want to become able to ~

```
I want to become able to read English books.
英語の本を読めるようになりたい

I want to become able to have daily conversation while traveling abroad.
海外旅行で日常会話ができるようになりたい

I want to become able to play baseball.
野球ができるようになりたい
```"
〜など,"and so on

```
She brought apples, oranges , and so on.
彼女がりんごやみかんなどを持ってきた

We ate sandwiches, cakes, and so on.
私たちはサンドイッチやケーキなどを食べた
```"
"どうぞ
（人にものを差し出す際）","Here you are
※ Here we are. 「（目的地に）着きました」という意味なので注意

```
Your passport, please.
OK. Here you are.
```"
訪問の目的は何ですか,"What's the purpose of your visit?

```
What's the purpose of your visit?
Sightseeing. (観光です)
```"
どのくらい滞在しますか？,"How long are you staying?

```
How long are you staying?
For five days. (5日間です）
```"
どこに滞在しますか？,"Where are you staying?

```
Where are you staying?
(I'm staying) At my friend's house in Seattle.
シアトルの友人宅です
```"
同行者は？（ここへは誰と一緒ですか？）,"Who are you here with?

```
Who are you here with?
I'm with my friend. She's just behind me.
友人と一緒です。私のすぐ後ろにいます
```"
はい、そうします,"Yes, I will.

```
Have a nice time.
楽しんでください

Yes, I will. Thanks.
はい、そうします。ありがとう。
```"
"それはどういう意味ですか
（会話で相手の言ったことが理解できないとき）","What do you mean by that?
What does that mean?"
〜はどういう意味ですか,"What does “xxx” mean?

```
The test is a piece of cake.
その試験は「piece of cake」だよ

I don't understand. What does “piece of cake” mean?
意味がわかりません。「piece of cake」とはどういう意味ですか？

“Piece of cake” means easy. The test is easy.
「Piece of cake」は「簡単」という意味だよ。その試験は簡単だよ。
```"
〜へはどう行きますか？,"How do I get to ~?

```
How do I get to the city?
市内へはどう行きますか？

You can use buses or trains.
バスか電車がご利用できます。
```"
どちらがオススメですか？,Which do you recommend?
電車は何分おきに来ますか？,"How often do the trains run?

```
How often do the trains run?
電車は何分おきに来ますか

About every 15 minutes.
15分おきくらいです
```"
チェックインしたいのですが。予約はしてあります。,I'd like to check in. I have a reservation.
お名前をいただけますか？,May I have your name?
この用紙にご記入いただけますか？,Could you fill out this form?
〜は何時ですか？,"What time ~?

```
What time is checkout?
チェックアウトは何時ですか？

Checkout time is noon.
チェックアウト時刻は正午です
```"
朝食が終わるのは何時ですか？,What time does breakfast finish?
〜をありがとう,"Thank you for ~

```
Thank you for your advise.
アドバイスをありがとう
```"
"いつでもどうぞ
（相手のお礼の言葉に対する応答）",Anytime
"どうぞ（お話ください）
※ 相手に話を続けてもらうときの表現","Please go ahead.

```
Hello. This is Room 423. I'd like to order something.
もしもし。423号室です。注文をしたいのですが。

Please go ahead.
どうぞ
```"
"他に何かございますか？
（他に注文が無いか聞く際の表現）","Would you like anything else?

```
I'd like a beef sandwich.
ビーフサンドをお願いします

Certainly. Would you like anything else?
かしこまりました。他になにかございますか？

That's all, thanks.
それで結構です。
```"
